Time,Message,Port,Sequence,% Idle Time,Time Status,Week,Seconds,Receiver Status,Reserved,Receiver S/W Version,clock status,offset (s),offset std (s),utc offset,utc year,utc month,utc day,utc hour,utc min,utc ms,utc status
10/09/2025 11:27:25.686 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69537,02004000,9924,16410,VALID,-8.85401E-11,1.12856E-09,-18,2021,5,23,19,18,0,39000
10/09/2025 11:27:26.687 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69538,02004000,9924,16410,VALID,-6.3583E-11,1.12105E-09,-18,2021,5,23,19,18,0,40000
10/09/2025 11:27:27.688 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69539,02004000,9924,16410,VALID,1.00733E-11,1.11443E-09,-18,2021,5,23,19,18,0,41000
10/09/2025 11:27:28.690 AM,#TIMEA,COM2,0,90.5,FINESTEERING,2159,69540,02004000,9924,16410,VALID,1.41269E-10,1.1086E-09,-18,2021,5,23,19,18,0,42000
10/09/2025 11:27:29.690 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69541,02004000,9924,16410,VALID,3.23099E-11,1.11521E-09,-18,2021,5,23,19,18,0,43000
10/09/2025 11:27:30.492 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69542,02004000,9924,16410,VALID,-3.46151E-11,1.12167E-09,-18,2021,5,23,19,18,0,44000
10/09/2025 11:27:31.494 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69543,02004000,9924,16410,VALID,-1.43621E-10,1.13865E-09,-18,2021,5,23,19,18,0,45000
10/09/2025 11:27:32.497 AM,#TIMEA,COM2,0,90.5,FINESTEERING,2159,69544,02004000,9924,16410,VALID,-2.90413E-10,1.15588E-09,-18,2021,5,23,19,18,0,46000
10/09/2025 11:27:33.499 AM,#TIMEA,COM2,0,90.5,FINESTEERING,2159,69545,02004000,9924,16410,VALID,-1.27529E-10,1.15837E-09,-18,2021,5,23,19,18,0,47000
10/09/2025 11:27:34.300 AM,#TIMEA,COM2,0,91,FINESTEERING,2159,69546,02004000,9924,16410,VALID,-2.31767E-10,1.16018E-09,-18,2021,5,23,19,18,0,48000
10/09/2025 11:27:35.304 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69547,02004000,9924,16410,VALID,-2.02523E-10,1.17424E-09,-18,2021,5,23,19,18,0,49000
10/09/2025 11:27:36.306 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69548,02004000,9924,16410,VALID,-4.10385E-10,1.17588E-09,-18,2021,5,23,19,18,0,50000
10/09/2025 11:27:37.309 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69549,02004000,9924,16410,VALID,-4.26204E-10,1.17489E-09,-18,2021,5,23,19,18,0,51000
10/09/2025 11:27:38.311 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69550,02004000,9924,16410,VALID,-5.30718E-10,1.17381E-09,-18,2021,5,23,19,18,0,52000
10/09/2025 11:27:39.111 AM,#TIMEA,COM2,0,86,FINESTEERING,2159,69551,02004000,9924,16410,VALID,-6.44694E-10,1.17302E-09,-18,2021,5,23,19,18,0,53000
10/09/2025 11:27:40.112 AM,#TIMEA,COM2,0,86,FINESTEERING,2159,69552,02004000,9924,16410,VALID,-5.61313E-10,1.16115E-09,-18,2021,5,23,19,18,0,54000
10/09/2025 11:27:41.113 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69553,02004000,9924,16410,VALID,-6.68448E-10,1.16041E-09,-18,2021,5,23,19,18,0,55000
10/09/2025 11:27:42.113 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69554,02004000,9924,16410,VALID,-5.50118E-10,1.17461E-09,-18,2021,5,23,19,18,0,56000
10/09/2025 11:27:43.115 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69555,02004000,9924,16410,VALID,-5.03539E-10,1.17646E-09,-18,2021,5,23,19,18,0,57000
10/09/2025 11:27:43.918 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69556,02004000,9924,16410,VALID,-4.25688E-10,1.17485E-09,-18,2021,5,23,19,18,0,58000
10/09/2025 11:27:44.919 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69557,02004000,9924,16410,VALID,-3.96396E-10,1.16455E-09,-18,2021,5,23,19,18,0,59000
10/09/2025 11:27:45.919 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69558,02004000,9924,16410,VALID,-3.54375E-10,1.16369E-09,-18,2021,5,23,19,19,0,0
10/09/2025 11:27:46.921 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69559,02004000,9924,16410,VALID,-5.25881E-10,1.16664E-09,-18,2021,5,23,19,19,0,1000
10/09/2025 11:27:47.922 AM,#TIMEA,COM2,0,88.5,FINESTEERING,2159,69560,02004000,9924,16410,VALID,-6.05246E-10,1.15594E-09,-18,2021,5,23,19,19,0,2000
10/09/2025 11:27:48.723 AM,#TIMEA,COM2,0,88.5,FINESTEERING,2159,69561,02004000,9924,16410,VALID,-4.92155E-10,1.14578E-09,-18,2021,5,23,19,19,0,3000
10/09/2025 11:27:49.724 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69562,02004000,9924,16410,VALID,-4.42827E-10,1.1598E-09,-18,2021,5,23,19,19,0,4000
10/09/2025 11:27:50.725 AM,#TIMEA,COM2,0,91,FINESTEERING,2159,69563,02004000,9924,16410,VALID,-7.05188E-10,1.16424E-09,-18,2021,5,23,19,19,0,5000
10/09/2025 11:27:51.726 AM,#TIMEA,COM2,0,90.5,FINESTEERING,2159,69564,02004000,9924,16410,VALID,-7.95441E-10,1.16456E-09,-18,2021,5,23,19,19,0,6000
10/09/2025 11:27:52.528 AM,#TIMEA,COM2,0,90.5,FINESTEERING,2159,69565,02004000,9924,16410,VALID,-8.23347E-10,1.17888E-09,-18,2021,5,23,19,19,0,7000
10/09/2025 11:27:53.531 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69566,02004000,9924,16410,VALID,-1.10346E-09,1.16912E-09,-18,2021,5,23,19,19,0,8000
10/09/2025 11:27:54.533 AM,#TIMEA,COM2,0,89.5,FINESTEERING,2159,69567,02004000,9924,16410,VALID,-1.42054E-09,1.15774E-09,-18,2021,5,23,19,19,0,9000
10/09/2025 11:27:55.534 AM,#TIMEA,COM2,0,90,FINESTEERING,2159,69568,02004000,9924,16410,VALID,-1.33364E-09,1.17037E-09,-18,2021,5,23,19,19,0,10000
